Sample_date,Sample_Time,DateTime, Station, Layer,SampleDepth_m,Salinity_ppt,pH,DO_mg/L,Turb_NTU,Chl_ug/L,BGA_RFU,Temp_C
6/1/2016,8:45:26,06/01/16 08:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.73,7.44,6.94,1,4.9,,23.22
6/1/2016,9:0:26,06/01/16 09:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.84,7.43,6.92,0.9,4.7,,23.3
6/1/2016,9:15:26,06/01/16 09:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.66,7.45,7.09,0.6,5.9,,23.16
6/1/2016,9:30:26,06/01/16 09:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.65,7.45,7.08,0.7,6.6,,23.19
6/1/2016,9:45:25,06/01/16 09:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.87,7.47,7.19,0.7,6.7,,23.57
6/1/2016,10:0:26,06/01/16 10:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.78,7.5,7.37,0.5,6.9,,23.55
6/1/2016,10:15:25,06/01/16 10:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.92,7.49,7.32,0.7,5,,23.62
6/1/2016,10:30:26,06/01/16 10:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.07,7.49,7.35,0.8,4.1,,23.76
6/1/2016,10:45:26,06/01/16 10:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.05,7.52,7.5,0.3,3.8,,23.98
6/1/2016,11:0:26,06/01/16 11:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.09,7.53,7.59,3,4.9,,24.01
6/1/2016,11:15:25,06/01/16 11:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.09,7.55,7.68,1,4.7,,24.05
6/1/2016,11:30:25,06/01/16 11:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.16,7.56,7.75,0.7,5,,24.07
6/1/2016,11:45:25,06/01/16 11:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.18,7.57,7.83,1.1,4.8,,24.34
6/1/2016,12:0:25,06/01/16 12:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.16,7.59,7.88,0.7,4,,24.56
6/1/2016,12:15:25,06/01/16 12:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.27,7.58,7.89,1.7,5,,24.59
6/1/2016,12:30:25,06/01/16 12:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.36,7.6,7.93,3.4,7.3,,24.72
6/1/2016,12:45:25,06/01/16 12:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.37,7.61,7.97,3.1,8.3,,24.68
6/1/2016,13:0:25,06/01/16 13:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.39,7.61,7.99,2.9,9.3,,24.57
6/1/2016,13:15:25,06/01/16 13:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.42,7.64,8.17,3,9,,24.86
6/1/2016,13:30:25,06/01/16 13:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.42,7.64,8.21,2.8,7.6,,24.67
6/1/2016,13:45:25,06/01/16 13:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.43,7.66,8.36,1.7,7.2,,24.55
6/1/2016,14:0:25,06/01/16 14:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.45,7.67,8.39,2.1,7.6,,24.64
6/1/2016,14:15:25,06/01/16 14:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.44,7.66,8.41,1.4,5.3,,24.52
6/1/2016,14:30:25,06/01/16 14:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.38,7.65,8.39,2.2,4.2,,24.66
6/1/2016,14:45:25,06/01/16 14:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.44,7.65,8.39,1.9,4.1,,24.37
6/1/2016,15:0:25,06/01/16 15:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.46,7.71,8.68,0.8,6,,24.15
6/1/2016,15:15:25,06/01/16 15:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.46,7.7,8.69,0.9,5.9,,24.1
6/1/2016,15:30:25,06/01/16 15:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.47,7.81,9.29,0.4,6.6,,23.96
6/1/2016,15:45:25,06/01/16 15:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.49,7.71,8.71,0.2,5.9,,23.73
6/1/2016,16:0:25,06/01/16 16:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.33,7.67,8.36,0,6.8,,24.68
6/1/2016,16:15:25,06/01/16 16:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.35,7.69,8.48,0.1,6.3,,24.82
6/1/2016,16:30:25,06/01/16 16:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.31,7.75,8.81,-0.1,9.9,,25.02
6/1/2016,16:45:25,06/01/16 16:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.37,7.87,9.5,0.4,16.1,,25.03
6/1/2016,17:0:25,06/01/16 17:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.38,8,10.16,0.9,25.5,,25.02
6/1/2016,17:15:25,06/01/16 17:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.43,7.89,9.66,1.4,18.8,,24.86
6/1/2016,17:30:25,06/01/16 17:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.75,7.87,9.39,0.2,16.9,,24.81
6/1/2016,17:45:25,06/01/16 17:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11,7.79,9.06,0.3,9.9,,24.56
6/1/2016,18:0:25,06/01/16 18:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.86,7.73,8.8,0.3,6.6,,24.43
6/1/2016,18:15:25,06/01/16 18:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.69,7.69,8.66,0.3,5.6,,24.33
6/1/2016,18:30:25,06/01/16 18:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.63,7.69,8.58,0.6,5.6,,24.39
6/1/2016,18:45:25,06/01/16 18:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.49,7.69,8.51,0.4,4.7,,24.4
6/1/2016,19:0:25,06/01/16 19:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.48,7.68,8.49,0.4,4.8,,24.38
6/1/2016,19:15:25,06/01/16 19:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.49,7.7,8.57,0.2,5.3,,24.45
6/1/2016,19:30:25,06/01/16 19:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.4,7.71,8.6,0.3,6,,24.41
6/1/2016,19:45:25,06/01/16 19:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.39,7.73,8.66,0.1,5.6,,24.42
6/1/2016,20:0:25,06/01/16 20:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.47,7.7,8.53,0.6,7.2,,24.71
6/1/2016,20:15:25,06/01/16 20:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.44,7.75,8.72,1.3,9.4,,24.79
6/1/2016,20:30:25,06/01/16 20:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.32,7.76,8.79,0.7,11,,24.68
6/1/2016,20:45:25,06/01/16 20:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.4,7.76,8.7,1.2,13.9,,24.72
6/1/2016,21:0:25,06/01/16 21:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.54,7.82,8.81,0.9,14.7,,24.58
6/1/2016,21:15:26,06/01/16 21:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.68,7.75,8.43,1.5,8.9,,24.66
6/1/2016,21:30:25,06/01/16 21:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.68,7.77,8.51,3.4,11.1,,24.7
6/1/2016,21:45:25,06/01/16 21:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.5,7.76,8.44,3.1,11.4,,24.67
6/1/2016,22:0:25,06/01/16 22:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.46,7.73,8.25,4.1,11.7,,24.65
6/1/2016,22:15:25,06/01/16 22:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.65,7.73,8.12,6.6,10.2,,24.81
6/1/2016,22:30:25,06/01/16 22:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.68,7.73,8.2,7.2,11,,24.8
6/1/2016,22:45:25,06/01/16 22:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.59,7.74,8.24,5.3,11.3,,24.68
6/1/2016,23:0:25,06/01/16 23:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.67,7.8,8.42,8.3,13.3,,24.61
6/1/2016,23:15:25,06/01/16 23:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.83,7.77,8.36,8.4,12.3,,24.66
6/1/2016,23:30:25,06/01/16 23:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.67,7.69,8.02,4.2,9.7,,24.7
6/1/2016,23:45:25,06/01/16 23:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.61,7.79,8.54,6.2,11.7,,24.28
6/2/2016,0:0:25,06/02/16 00:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.65,7.78,8.5,6.2,11.6,,24.29
6/2/2016,0:15:25,06/02/16 00:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.57,7.84,8.65,5.6,12.8,,24.16
6/2/2016,0:30:25,06/02/16 00:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.74,7.75,8.01,8.6,12,,24.35
6/2/2016,0:45:25,06/02/16 00:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.11,7.62,7.42,11.8,11,,24.68
6/2/2016,1:0:25,06/02/16 01:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.25,7.59,7.2,12.7,11.7,,24.95
6/2/2016,1:15:25,06/02/16 01:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.88,7.58,7.25,7.9,9.5,,24.7
6/2/2016,1:30:25,06/02/16 01:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.04,7.62,7.44,8.9,11.4,,24.67
6/2/2016,1:45:25,06/02/16 01:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.12,7.6,7.22,9.4,12.9,,24.83
6/2/2016,2:0:25,06/02/16 02:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.9,7.63,7.53,6,11,,24.38
6/2/2016,2:15:25,06/02/16 02:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.08,7.66,7.66,4.8,8.7,,24.11
6/2/2016,2:30:25,06/02/16 02:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.04,7.57,7.13,6.8,10.6,,24.45
6/2/2016,2:45:25,06/02/16 02:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.87,7.63,7.47,4.2,9.9,,23.94
6/2/2016,3:0:25,06/02/16 03:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.85,7.63,7.48,3.5,9.1,,23.83
6/2/2016,3:15:26,06/02/16 03:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.93,7.59,7.23,4,10.8,,24.11
6/2/2016,3:30:26,06/02/16 03:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.85,7.67,7.65,1.5,8.4,,23.61
6/2/2016,3:45:25,06/02/16 03:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.89,7.67,7.7,1,8.5,,23.38
6/2/2016,4:0:25,06/02/16 04:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.82,7.71,8,0.4,8.2,,23.1
6/2/2016,4:15:25,06/02/16 04:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.82,7.72,8.1,-0.4,7.1,,22.97
6/2/2016,4:30:26,06/02/16 04:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.78,7.74,8.18,0.3,7.7,,22.85
6/2/2016,4:45:26,06/02/16 04:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.76,7.76,8.24,0,5.9,,22.78
6/2/2016,5:0:26,06/02/16 05:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.58,7.74,8.18,0,6.3,,23.05
6/2/2016,5:15:25,06/02/16 05:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.56,7.65,7.74,0.7,4.9,,23.13
6/2/2016,5:30:25,06/02/16 05:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.53,7.56,7.32,0.9,4.3,,23.29
6/2/2016,5:45:25,06/02/16 05:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.53,7.54,7.24,2,5.2,,23.25
6/2/2016,6:0:25,06/02/16 06:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.63,7.54,7.22,3.9,4,,23.21
6/2/2016,6:15:25,06/02/16 06:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.67,7.56,7.3,3.2,5.2,,23.1
6/2/2016,6:30:25,06/02/16 06:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.62,7.52,7.1,3.4,4.5,,23.13
6/2/2016,6:45:25,06/02/16 06:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.58,7.5,6.97,4,3.7,,23.18
6/2/2016,7:0:26,06/02/16 07:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.59,7.52,7.09,3,5.6,,23.18
6/2/2016,7:15:26,06/02/16 07:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.61,7.54,7.18,1.7,6.1,,23.16
6/2/2016,7:30:26,06/02/16 07:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.43,7.49,6.96,1.5,5.7,,23.04
6/2/2016,7:45:26,06/02/16 07:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.35,7.48,6.91,1.5,5.6,,22.91
6/2/2016,8:0:26,06/02/16 08:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.42,7.51,7.1,1.1,6.7,,22.95
6/2/2016,8:15:26,06/02/16 08:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.52,7.53,7.17,1.5,7.2,,23.04
6/2/2016,8:30:25,06/02/16 08:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.54,7.51,7.06,1.1,5.9,,23.07
6/2/2016,8:45:25,06/02/16 08:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.54,7.49,6.97,2,6.3,,23.12
6/2/2016,9:0:25,06/02/16 09:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.68,7.45,6.62,1.3,6.8,,23.48
6/2/2016,9:15:25,06/02/16 09:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.69,7.43,6.56,2.3,7.2,,23.59
6/2/2016,9:30:25,06/02/16 09:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.79,7.37,6.12,4.3,5.4,,23.79
6/2/2016,9:45:25,06/02/16 09:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.93,7.33,5.88,4.5,6.6,,24.18
6/2/2016,10:0:26,06/02/16 10:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.69,7.41,6.33,2.9,4.4,,23.54
6/2/2016,10:15:25,06/02/16 10:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.73,7.41,6.26,2.7,5.7,,23.63
6/2/2016,10:30:26,06/02/16 10:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.82,7.38,5.96,3.3,5.7,,23.8
6/2/2016,10:45:25,06/02/16 10:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.96,7.34,5.58,5.4,5.5,,24.15
6/2/2016,11:0:26,06/02/16 11:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.96,7.34,5.6,7.2,7.1,,24.14
6/2/2016,11:15:25,06/02/16 11:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.92,7.36,5.77,6.2,7.2,,24.09
6/2/2016,11:30:26,06/02/16 11:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.91,7.4,6.02,8.8,6.1,,23.9
6/2/2016,11:45:25,06/02/16 11:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.9,7.42,6.13,6.1,8.1,,24.03
6/2/2016,12:0:25,06/02/16 12:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.88,7.49,6.65,7.9,6.6,,23.77
6/2/2016,12:15:25,06/02/16 12:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.87,7.49,6.61,8.6,7.6,,23.8
6/2/2016,12:30:25,06/02/16 12:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.86,7.51,6.76,8.8,7.4,,23.83
6/2/2016,12:45:26,06/02/16 12:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.86,7.57,7.03,4.4,8.1,,23.75
6/2/2016,13:0:26,06/02/16 13:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.88,7.55,6.94,5.7,8.6,,23.88
6/2/2016,13:15:26,06/02/16 13:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.92,7.54,6.88,4.4,10.5,,24.05
6/2/2016,13:30:25,06/02/16 13:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.99,7.56,6.88,3.6,11.2,,24.08
6/2/2016,13:45:25,06/02/16 13:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.01,7.55,6.83,5.3,11.1,,24.21
6/2/2016,14:0:25,06/02/16 14:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.04,7.52,6.61,5.4,10,,24.18
6/2/2016,14:15:25,06/02/16 14:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.07,7.52,6.62,6.6,12.4,,24.43
6/2/2016,14:30:25,06/02/16 14:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.1,7.52,6.64,6.8,12.6,,24.43
6/2/2016,14:45:25,06/02/16 14:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.12,7.54,6.69,8.6,12.7,,24.59
6/2/2016,15:0:25,06/02/16 15:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.08,7.56,6.86,7.3,13.8,,24.47
6/2/2016,15:15:25,06/02/16 15:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.07,7.55,6.81,6.8,12.3,,24.62
6/2/2016,15:30:25,06/02/16 15:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.03,7.56,6.97,4.4,6,,23.83
6/2/2016,15:45:25,06/02/16 15:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.02,7.58,7.07,3.5,6,,23.73
6/2/2016,16:0:25,06/02/16 16:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.06,7.52,6.69,4.8,5.5,,23.98
6/2/2016,16:15:25,06/02/16 16:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.1,7.67,7.51,3.1,8.2,,23.75
6/2/2016,16:30:26,06/02/16 16:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.13,7.58,7.18,1.5,4.4,,23.52
6/2/2016,16:45:26,06/02/16 16:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.1,7.71,7.91,1.2,10.5,,22.95
6/2/2016,17:0:25,06/02/16 17:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.1,7.83,8.47,1.5,14.1,,23.51
6/2/2016,17:15:26,06/02/16 17:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.06,7.87,8.69,1.7,16.6,,23.76
6/2/2016,17:30:26,06/02/16 17:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.09,7.94,9.15,1,16.6,,23.9
6/2/2016,17:45:26,06/02/16 17:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,11.05,7.81,8.46,1.8,15.1,,23.8
6/2/2016,18:0:26,06/02/16 18:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.93,7.69,7.86,1.8,9.5,,23.43
6/2/2016,18:15:25,06/02/16 18:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.89,7.64,7.61,2,7,,23.34
6/2/2016,18:30:25,06/02/16 18:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.89,7.6,7.43,1.5,5.2,,23.26
6/2/2016,18:45:26,06/02/16 18:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.64,7.61,7.61,0.6,4.4,,23.15
6/2/2016,19:0:26,06/02/16 19:00, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.61,7.59,7.5,0.8,4.7,,23.19
6/2/2016,19:15:26,06/02/16 19:15, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.6,7.6,7.5,0.7,4.5,,23.2
6/2/2016,19:30:26,06/02/16 19:30, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.57,7.58,7.44,1,3.7,,23.22
6/2/2016,19:45:26,06/02/16 19:45, Chesapeake Bay Segment 3 - Sandy Point South Beach,BS,,10.57,7.6,7.59,0.8,5.1,,23.24
