MonitoringStation	EventId	Cruise	Program	Project	Agency	Source	Station	SampleDate	SampleTime	TotalDepth	UpperPycnocline	LowerPycnocline	Depth	Layer	SampleType	SampleReplicateType	Parameter	Qualifier	MeasureValue	Unit	Method	Lab	Problem	PrecisionPC	BiasPC	Details	Latitude	Longitude
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	11	B 	D	S1	CHLA		2.563	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	7	BP	D	S1	CHLA		3.204	UG/L	L01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	7	BP	D	S1	DIN		0.269	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	11	B 	D	S1	DIN		0.274	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	AP	D	S1	DIN		0.283	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	S 	D	FS2	DIN		0.29	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	S 	D	FS1	DIN		0.289	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	4	BP	D	S1	DIN		0.198	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	11	B 	D	S1	DIN		0.163	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	1	AP	D	S1	DIN		0.225	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	0.5	S 	D	FS2	DIN		0.29	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	0.5	S 	D	FS1	DIN		0.212	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	7	BP	D	S1	DIN		0.205	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	11	B 	D	S1	DIN		0.178	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	4	AP	D	S1	DIN		0.215	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	0.5	S 	D	FS2	DIN		0.239	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	0.5	S 	D	FS1	DIN		0.244	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	6	BP	D	S1	DIN		0.4	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	11	B 	D	S1	DIN		0.382	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	3	AP	D	S1	DIN		0.445	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	0.5	S 	D	FS2	DIN		0.452	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	0.5	S 	D	FS1	DIN		0.462	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	3	AP	ISM	M1	DO		6.8	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	11	B 	ISM	M1	DO		6.3	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	6	BP	ISM	M1	DO		6.5	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	1	M 	ISM	M1	DO		7.2	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	2	M 	ISM	M1	DO		7	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	4	M 	ISM	M1	DO		6.7	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	5	M 	ISM	M1	DO		6.5	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	7	M 	ISM	M1	DO		6.5	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	8	M 	ISM	M1	DO		6.4	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	9	M 	ISM	M1	DO		6.3	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	10	M 	ISM	M1	DO		6.3	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	0.5	S 	ISM	M1	DO		7.4	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	4	AP	ISM	M1	DO		7	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	11	B 	ISM	M1	DO		5.3	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	7	BP	ISM	M1	DO		5.5	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	1	M 	ISM	M1	DO		7.5	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	2	M 	ISM	M1	DO		7.2	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	3	M 	ISM	M1	DO		7	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	5	M 	ISM	M1	DO		6.8	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	6	M 	ISM	M1	DO		6.4	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	8	M 	ISM	M1	DO		5.4	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	9	M 	ISM	M1	DO		5.4	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	10	M 	ISM	M1	DO		5.4	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	0.5	S 	ISM	M1	DO		7.8	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/16	10:05:00	12			0.5	M 	ISM	M1	DO		6.9	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/16	10:05:00	12			1	M 	ISM	M1	DO		6.8	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/16	10:05:00	12			2	M 	ISM	M1	DO		6.7	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/16	10:05:00	12			3	M 	ISM	M1	DO		6.5	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/16	10:05:00	12			5	M 	ISM	M1	DO		6.2	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/16	10:05:00	12			7	M 	ISM	M1	DO		6.1	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/16	10:05:00	12			9	M 	ISM	M1	DO		5.9	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/16	10:05:00	12			11	M 	ISM	M1	DO		5.6	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	1	AP	ISM	M1	DO		6.6	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	11	B 	ISM	M1	DO		5.3	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	4	BP	ISM	M1	DO		6.1	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	2	M 	ISM	M1	DO		6.5	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	3	M 	ISM	M1	DO		6.1	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	5	M 	ISM	M1	DO		6	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	6	M 	ISM	M1	DO		6	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	7	M 	ISM	M1	DO		5.8	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	8	M 	ISM	M1	DO		5.8	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	9	M 	ISM	M1	DO		5.6	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	10	M 	ISM	M1	DO		5.4	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	0.5	S 	ISM	M1	DO		6.7	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	AP	ISM	M1	DO		6.3	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	11	B 	ISM	M1	DO		4.2	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	7	BP	ISM	M1	DO		4.7	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	1	M 	ISM	M1	DO		6	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	2	M 	ISM	M1	DO		5.6	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	3	M 	ISM	M1	DO		5.5	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	4	M 	ISM	M1	DO		5.4	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	5	M 	ISM	M1	DO		5.3	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	6	M 	ISM	M1	DO		4.8	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	8	M 	ISM	M1	DO		4.7	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	9	M 	ISM	M1	DO		4.6	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	10	M 	ISM	M1	DO		4.4	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	S 	ISM	M1	DO		6.3	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	7	BP	D	S1	DON		0.311	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	AP	D	S1	DON		0.347	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	11	B 	D	S1	DON		0.316	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	S 	D	FS1	DON		0.431	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/16	10:06:00	12.5	0.7	5.5	0.5	S 	D	FS2	DON		0.36	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	4	BP	D	S1	DON		0.412	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	1	AP	D	S1	DON		0.395	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	11	B 	D	S1	DON		0.437	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	0.5	S 	D	FS1	DON		0.428	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	0.5	S 	D	FS2	DON		0.33	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	7	BP	D	S1	DON		0.305	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	0.5	S 	D	FS1	DON		0.406	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	0.5	S 	D	FS2	DON		0.361	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	4	AP	D	S1	DON		0.255	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	11	B 	D	S1	DON		0.332	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	6	BP	D	S1	DON		0.24	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	0.5	S 	D	FS1	DON		0.308	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	0.5	S 	D	FS2	DON		0.268	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	3	AP	D	S1	DON		0.305	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	11	B 	D	S1	DON		0.308	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	11	B 	D	S1	DOP		0.0087	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	3	AP	D	S1	DOP		0.0053	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	0.5	S 	D	FS2	DOP		0.0051	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	0.5	S 	D	FS1	DOP		0.0068	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/16	10:04:00	12	4.5	4.5	6	BP	D	S1	DOP		0.0065	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	11	B 	D	S1	DOP		0.006	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	4	AP	D	S1	DOP		0.0043	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	0.5	S 	D	FS2	DOP		0.0077	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	0.5	S 	D	FS1	DOP		0.0065	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/16	10:12:00	12	5.5	5.5	7	BP	D	S1	DOP		0.007	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	0.5	S 	D	FS2	DOP		0.0051	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	0.5	S 	D	FS1	DOP		0.0075	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/16	10:03:00	12	2.5	2.5	11	B 	D	S1	DOP		0.0059	MG/L	D01 	CBL					39.34873	-76.17579
