MonitoringStation	EventId	Cruise	Program	Project	Agency	Source	Station	SampleDate	SampleTime	TotalDepth	UpperPycnocline	LowerPycnocline	Depth	Layer	SampleType	SampleReplicateType	Parameter	Qualifier	MeasureValue	Unit	Method	Lab	Problem	PrecisionPC	BiasPC	Details	Latitude	Longitude
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	7	BP	D	S1	DIN		0.26900	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	11	B 	D	S1	DIN		0.27400	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	AP	D	S1	DIN		0.28300	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	S 	D	FS2	DIN		0.29000	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	S 	D	FS1	DIN		0.28900	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	4	BP	D	S1	DIN		0.19800	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	11	B 	D	S1	DIN		0.16300	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	1	AP	D	S1	DIN		0.22500	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	0.5	S 	D	FS2	DIN		0.29000	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	0.5	S 	D	FS1	DIN		0.21200	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	7	BP	D	S1	DIN		0.20500	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	11	B 	D	S1	DIN		0.17800	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	4	AP	D	S1	DIN		0.21500	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	0.5	S 	D	FS2	DIN		0.23900	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	0.5	S 	D	FS1	DIN		0.24400	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	6	BP	D	S1	DIN		0.40000	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	11	B 	D	S1	DIN		0.38200	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	3	AP	D	S1	DIN		0.44500	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	0.5	S 	D	FS2	DIN		0.45200	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	0.5	S 	D	FS1	DIN		0.46200	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	3	AP	ISM	M1	DO		6.80000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	11	B 	ISM	M1	DO		6.30000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	6	BP	ISM	M1	DO		6.50000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	1	M 	ISM	M1	DO		7.20000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	2	M 	ISM	M1	DO		7.00000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	4	M 	ISM	M1	DO		6.70000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	5	M 	ISM	M1	DO		6.50000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	7	M 	ISM	M1	DO		6.50000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	8	M 	ISM	M1	DO		6.40000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	9	M 	ISM	M1	DO		6.30000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	10	M 	ISM	M1	DO		6.30000	MG/L	F01 						39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	0.5	S 	ISM	M1	DO		7.40000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	4	AP	ISM	M1	DO		7.00000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	11	B 	ISM	M1	DO		5.30000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	7	BP	ISM	M1	DO		5.50000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	1	M 	ISM	M1	DO		7.50000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	2	M 	ISM	M1	DO		7.20000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	3	M 	ISM	M1	DO		7.00000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	5	M 	ISM	M1	DO		6.80000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	6	M 	ISM	M1	DO		6.40000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	8	M 	ISM	M1	DO		5.40000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	9	M 	ISM	M1	DO		5.40000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	10	M 	ISM	M1	DO		5.40000	MG/L	F01 						39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	0.5	S 	ISM	M1	DO		7.80000	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/2016	10:05:00	12			0.5	M 	ISM	M1	DO		6.90000	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/2016	10:05:00	12			1	M 	ISM	M1	DO		6.80000	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/2016	10:05:00	12			2	M 	ISM	M1	DO		6.70000	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/2016	10:05:00	12			3	M 	ISM	M1	DO		6.50000	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/2016	10:05:00	12			5	M 	ISM	M1	DO		6.20000	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/2016	10:05:00	12			7	M 	ISM	M1	DO		6.10000	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/2016	10:05:00	12			9	M 	ISM	M1	DO		5.90000	MG/L	F01 						39.34873	-76.17579
CB2.2	419937	BAY677	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/27/2016	10:05:00	12			11	M 	ISM	M1	DO		5.60000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	1	AP	ISM	M1	DO		6.60000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	11	B 	ISM	M1	DO		5.30000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	4	BP	ISM	M1	DO		6.10000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	2	M 	ISM	M1	DO		6.50000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	3	M 	ISM	M1	DO		6.10000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	5	M 	ISM	M1	DO		6.00000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	6	M 	ISM	M1	DO		6.00000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	7	M 	ISM	M1	DO		5.80000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	8	M 	ISM	M1	DO		5.80000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	9	M 	ISM	M1	DO		5.60000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	10	M 	ISM	M1	DO		5.40000	MG/L	F01 						39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	0.5	S 	ISM	M1	DO		6.70000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	AP	ISM	M1	DO		6.30000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	11	B 	ISM	M1	DO		4.20000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	7	BP	ISM	M1	DO		4.70000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	1	M 	ISM	M1	DO		6.00000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	2	M 	ISM	M1	DO		5.60000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	3	M 	ISM	M1	DO		5.50000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	4	M 	ISM	M1	DO		5.40000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	5	M 	ISM	M1	DO		5.30000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	6	M 	ISM	M1	DO		4.80000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	8	M 	ISM	M1	DO		4.70000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	9	M 	ISM	M1	DO		4.60000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	10	M 	ISM	M1	DO		4.40000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	S 	ISM	M1	DO		6.30000	MG/L	F01 						39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	7	BP	D	S1	DON		0.31100	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	AP	D	S1	DON		0.34700	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	11	B 	D	S1	DON		0.31600	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	S 	D	FS1	DON		0.43100	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421695	BAY679	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/31/2016	10:06:00	12.5	0.70	5.50	0.5	S 	D	FS2	DON		0.36000	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	4	BP	D	S1	DON		0.41200	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	1	AP	D	S1	DON		0.39500	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	11	B 	D	S1	DON		0.43700	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	0.5	S 	D	FS1	DON		0.42800	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	421694	BAY678	TWQM	MAIN	MDDNR	MDDNR	CB2.2	8/10/2016	10:03:00	12	2.50	2.50	0.5	S 	D	FS2	DON		0.33000	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	7	BP	D	S1	DON		0.30500	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	0.5	S 	D	FS1	DON		0.40600	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	0.5	S 	D	FS2	DON		0.36100	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	4	AP	D	S1	DON		0.25500	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	11	B 	D	S1	DON		0.33200	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	6	BP	D	S1	DON		0.24000	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	0.5	S 	D	FS1	DON		0.30800	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	0.5	S 	D	FS2	DON		0.26800	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	3	AP	D	S1	DON		0.30500	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	11	B 	D	S1	DON		0.30800	MG/L	D02 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	11	B 	D	S1	DOP		0.00870	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	3	AP	D	S1	DOP		0.00530	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	0.5	S 	D	FS2	DOP		0.00510	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	0.5	S 	D	FS1	DOP		0.00680	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419893	BAY675	TWQM	MAIN	MDDNR	MDDNR	CB2.2	6/29/2016	10:04:00	12	4.50	4.50	6	BP	D	S1	DOP		0.00650	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	11	B 	D	S1	DOP		0.00600	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	4	AP	D	S1	DOP		0.00430	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	0.5	S 	D	FS2	DOP		0.00770	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	0.5	S 	D	FS1	DOP		0.00650	MG/L	D01 	CBL					39.34873	-76.17579
CB2.2	419936	BAY676	TWQM	MAIN	MDDNR	MDDNR	CB2.2	7/13/2016	10:12:00	12	5.50	5.50	7	BP	D	S1	DOP		0.00700	MG/L	D01 	CBL					39.34873	-76.17579
